,model_id,uffid,node_nums,x,y,z,thx,thy,thz,disp_cs,def_cs,color,clr_r,clr_g,clr_b,clr_a,r,phi,cyl_thz,lcs_x1,lcs_x2,lcs_x3,lcs_y1,lcs_y2,lcs_y3,lcs_z1,lcs_z2,lcs_z3
52,0.0,,53.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
53,0.0,,54.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
54,0.0,,55.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
55,0.0,,56.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
56,0.0,,57.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
57,0.0,,58.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
58,0.0,,59.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
59,0.0,,60.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
60,0.0,,61.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
61,0.0,,62.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
62,0.0,,63.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
63,0.0,,64.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
64,0.0,,65.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
65,0.0,,66.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
66,0.0,,67.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
67,0.0,,68.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
68,0.0,,69.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
69,0.0,,70.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
70,0.0,,71.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
71,0.0,,72.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
72,0.0,,73.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
73,0.0,,74.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
74,0.0,,75.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
75,0.0,,76.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
76,0.0,,77.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
77,0.0,,78.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
78,0.0,,79.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
79,0.0,,80.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
80,0.0,,81.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
81,0.0,,82.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
82,0.0,,83.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
83,0.0,,84.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
84,0.0,,85.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
85,0.0,,86.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
86,0.0,,87.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
87,0.0,,88.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
88,0.0,,89.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
89,0.0,,90.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
90,0.0,,91.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
91,0.0,,92.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
92,0.0,,93.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
93,0.0,,94.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
94,0.0,,95.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
95,0.0,,96.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
96,0.0,,97.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
97,0.0,,98.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
98,0.0,,99.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
99,0.0,,100.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
